,index,message,label
0,1,gary production high island larger block commenced saturday p gross carlos expects gross tomorrow vastar owns gross production george x forwarded george weissman hou ect daren j farmer carlos j rodriguez hou ect ect cc george weissman hou ect ect melissa graves hou ect ect subject vastar resources inc carlos please call linda get everything set going estimate coming tomorrow increase following day based conversations bill fischer bmar forwarded daren j farmer hou ect enron north america corp george weissman daren j farmer hou ect ect cc gary bryan hou ect ect melissa graves hou ect ect subject vastar resources inc darren attached appears nomination vastar resources inc high island larger block previously erroneously referred well vastar expects well commence production sometime tomorrow told linda harris get telephone number gas control provide notification turn tomorrow linda numbers record voice fax would please see someone contacts linda advises submit future nominations via e mail fax voice thanks george x forwarded george weissman hou ect linda harris george weissman hou ect ect cc subject hi effective mscf min ftp time hours hours hours hours hours hours hours hours hours hours hours hours hours hours hours hours hours,1
1,2,calpine daily gas nomination doc,1
2,3,fyi see note already done stella forwarded stella l morris hou ect sherlyn schumack stella l morris hou ect ect cc howard b camp hou ect ect subject issue stella already taken care yesterday thanks howard b camp stella l morris hou ect ect cc sherlyn schumack hou ect ect howard b camp hou ect ect stacey neuweiler hou ect ect daren j farmer hou ect ect subject issue stella work stacey daren resolve hc forwarded howard b camp hou ect sherlyn schumack pm howard b camp hou ect ect cc subject issue create accounting arrangement purchase unocal energy meter deal tracked volume deal expired,1
3,4,fyi forwarded lauri allen hou ect pm kimberly vaughn pm lauri allen hou ect ect cc mary smith hou ect ect subject meter nov allocation lauri put strangas gas get contract daren forwarded kimberly vaughn hou ect pm lauri allen pm kimberly vaughn hou ect ect anita luong hou ect ect cc howard b camp hou ect ect mary smith hou ect ect subject meter nov allocation kim anita volume mm shows allocated reliant contract november nomination reliant point november therefore volume allocated contract please make sure volumes moved reliant contract prior november close thanks,1
4,5,jackie since inlet river plant shut last day flow meter mcmullen gas diverted meter hpl buying residue gas gas teco vastar vintage tejones swift still see active deals meter path manager teco vastar vintage tejones swift also see gas scheduled pops meter please advice need resolve soon possible settlement send payments thanks,1
5,6,george need following done jan zero receipt package id allocate flow deliv package id jan zero receipt package id zero deliv package id buybacks incorrectly nominated transport contracts ect receipt let know done hc,1
6,7,fyi forwarded gary l payne hou ect pm antoine v pierre pm tommy j yanowski hou ect ect kathryn bussell hou ect ect gary l payne hou ect ect diane e niestrath hou ect ect romeo souza hou ect ect michael eiben hou ect ect clem cernosek hou ect ect scotty gilbert hou ect ect dave nommensen hou ect ect david rohan hou ect ect kevin heal cal ect ect richard pinion hou ect ect cc mary g gosnell hou ect ect jason moore hou ect ect samuel schott hou ect ect bernice rodriguez hou ect ect subject duns number changes making changes wednesday december agree problem dnb number change please notify otherwise make change scheduled dunns number change counterparty cp id number cinergy resources inc energy dynamics management inc south jersey resources group llc transalta energy marketing us inc philadelphia gas works thanks rennie,1
7,8,two fields gas difficulty unify system cage ranch since processing agreement accomodates gas king ranch understanding hpl selling liquids king ranch delivering stratton also understanding cent fee deliver gas need method accomodate volume flow hpl meter gas reflected trans usage ticket since nominated processing agreement either need input point nom hpl krgp meters match nom meter deal purchase sale king ranch taking title gas needs input sitara meters appropriate rate currently input point nom krgp accomodate flow divert gas current interstate sales made forest oil processing agreement accomodate flow meter king ranch understanding agreement originally setup texaco processing agreement need confirmation gas meter nominated contract agreement reassigned hplc currently still hplr gas nominated transport agreement need accomodate flow volume hpl pipe either point nom sitara deal meters,1
8,9,thanks much memo would like reiterate support two key issues thu best luck new assignment howard worked hard done great job please shy asking questions entex critical texas business critical team timely accurate rita thanks setting account team communication critical success encourage keep informed times p l impact business significant additionally high profile want assure top quality thanks efforts let know anything help provide additional support rita wynne pm janet h wallis hou ect ect ami chokshi corp enron enron howard b camp hou ect ect thu nguyen hou ect ect kyle r lilly hou ect ect stacey neuweiler hou ect ect george grant hou ect ect julie meyers hou ect ect cc daren j farmer hou ect ect kathryn cordes hou ect ect rita wynne hou ect lisa csikos hou ect ect brenda f herod hou ect ect pamela chambers corp enron enron subject entex transistion purpose email recap kickoff meeting held yesterday members commercial volume managment concernig entex account effective january thu nguyen x volume managment group take responsibility allocating entex contracts howard thu began training month continue transition account next months entex thu primary account especially first months learns allocations process contracts howard continue lead responsibilites within group available questions backup necessary thanks howard hard work account year initial phases transistion would like organize entex account team team members front office back office would meet point month discuss issues relating scheduling allocations settlements contracts deals etc hopefully give chance identify resolve issues finalization process learn relative respective areas allow newcomers get speed account well would encourage everyone attend meetings initially believe critical part success entex account assistant coordinate initial meeting early anyone questions concerns please feel free call stop thanks advance everyone cooperation julie please add thu confirmations distributions list,1
9,10,purpose email recap kickoff meeting held yesterday members commercial volume managment concernig entex account effective january thu nguyen x volume managment group take responsibility allocating entex contracts howard thu began training month continue transition account next months entex thu primary account especially first months learns allocations process contracts howard continue lead responsibilites within group available questions backup necessary thanks howard hard work account year initial phases transistion would like organize entex account team team members front office back office would meet point month discuss issues relating scheduling allocations settlements contracts deals etc hopefully give chance identify resolve issues finalization process learn relative respective areas allow newcomers get speed account well would encourage everyone attend meetings initially believe critical part success entex account assistant coordinate initial meeting early anyone questions concerns please feel free call stop thanks advance everyone cooperation julie please add thu confirmations distributions list,1
10,11,fyi forwarded susan trevino hou ect bob withers pm susan trevino hou ect ect cc stretch brennan kevin mclarney taylor vance e mail subject lst rev dec josey ranch nom susan discussed change missed discussed last week apologize omission checking field personnel anticipate reduction due well production decreases effective send separate email intra day change wednesday revised december effective setup josey using btu mcf gas deliveries hpl mmbtu kri net reduction mmbtu mmbtu hpl bob withers kcs energy san felipe suite houston tx voice mail page,1
11,12,forwarded susan trevino hou ect bob withers susan trevino hou ect ect cc stretch brennan kevin mclarney taylor vance e mail subject nd rev dec josey ranch nom revised december effective setup josey using btu mcf gas deliveries hpl mmbtu kri net reduction mmbtu mmbtu hpl bob withers kcs energy san felipe suite houston tx voice mail page,1
